geneSymbol	location_hg19	location_GRCh38
EPB41L4A	chr5:111602907-111602981	chr5:112267210-112267284
CEP72	chr5:648215-648338	chr5:648100-648223
INSR	chr19:7169645-7169842	chr19:7169634-7169831
FAM114A2	chr5:153416928-153417015	chr5:154037368-154037455
PFKP	chr10:3141749-3142011	chr10:3099557-3099819
ST5	chr11:8797739-8801798	chr11:8776192-8780251
RNFT2	chr12:117226441-117226517	chr12:116788636-116788712
RNFT2	chr12:117227839-117228527	chr12:116790034-116790722
ALX1	chr12:85689446-85689514	chr12:85295668-85295736
AGRN	chr1:980268-980367	chr1:1044888-1044987
AGRN	chr1:980272-980367	chr1:1044892-1044987
ATG4B	chr2:242608197-242608400	chr2:241668782-241668985
AGRN	chr1:980268-980460	chr1:1044888-1045080
AGRN	chr1:980272-980460	chr1:1044892-1045080
ST5	chr11:8801680-8801798	chr11:8780133-8780251
SETD5	chr3:9510260-9510300	chr3:9468576-9468616
KDELC2	chr11:108368528-108368891	chr11:108497801-108498164
MUC16	chr19:9112157-9112234	chr19:9001481-9001558
PKN1	chr19:14560900-14561129	chr19:14450088-14450317
IRF9	chr14:24630911-24631099	chr14:24161702-24161890
UPF2	chr10:11968921-11971863	chr10:11926922-11929864
GPSM2	chr1:109438939-109439053	chr1:108896317-108896431
XPO4	chr13:21374252-21374294	chr13:20800113-20800155
RASA4	chr7:102227839-102228081	chr7:102587392-102587634
RASA4B	chr7:102128667-102128909	chr7:102488220-102488462
PARP6	chr15:72557611-72557753	chr15:72265270-72265412
KRT7	chr12:52631354-52631501	chr12:52237570-52237717
TRAPPC12	chr2:3462025-3462286	chr2:3458254-3458515
RANBP1	chr22:20110103-20110220	chr22:20122580-20122697
HERC6	chr4:89319549-89319596	chr4:88398397-88398444
BLZF1	chr1:169337730-169337948	chr1:169368492-169368710
ZFP91	chr11:58384466-58384527	chr11:58616993-58617054
HDGFRP2	chr19:4492012-4492149	chr19:4492015-4492152
MAP3K8	chr10:30731500-30731565	chr10:30442571-30442636
SSFA2	chr2:182775853-182775960	chr2:181911126-181911233
CENPK	chr5:64836755-64836979	chr5:65540928-65541152
ITPR3	chr6:33626324-33626446	chr6:33658547-33658669
KYNU	chr2:143722222-143728961	chr2:142964653-142971392
IRF9	chr14:24634266-24634392	chr14:24165057-24165183
COL4A6	chrX:107465095-107465143	chrX:108221865-108221913
KYNU	chr2:143728740-143728961	chr2:142971171-142971392
